Language,Poem Title,Translated Title,Poet,Translator,Original Poems,Translated Poems
Hindi,"Chitthi Aayi Hai","A Letter Has Arrived","Gulzar","Keki N. Daruwalla","चिट्ठी आई है  
वतन से चिट्ठी आई है  
बड़े दिनों के बाद  
हम बेवतन को याद  
वतन की मिट्टी आई है  

आंखों में पानी लेकर  
हमने चिट्ठी खोली  
अपनी छत पर बैठा  
चांद हमने देखा  
चिट्ठी आई है  
वतन से चिट्ठी आई है","A letter has arrived  
A letter from home has arrived  
After many days  
We, the exiled, remember  
The soil of our homeland has come  

With tears in our eyes  
We opened the letter  
From our rooftop  
We saw the moon  
A letter has arrived  
A letter from home has arrived"
Hindi,"Suno Ghar Ki Katha","Listen to the Story of the House","Gajanan Madhav Muktibodh","Vani S. Kher","सुनो घर की कथा
एक आँख का सपना
धड़कन भरी छाया
हाथ का हाथ
और कदम का कदम मिलाकर
बनता गया एक घर
छोटी-छोटी बातें
छोटी-छोटी बातों से बनता गया एक घर
सुनो घर की कथा
कदम का कदम मिलाकर
कदम से कदम मिलाकर
बनाते हैं एक घर
सुनो घर की कथा!","Listen to the story of the house
A dream of one eye
A shadow filled with heartbeat
Hand in hand
Step in step
A house was built
Small, little things
With small, little things, a house was built
Listen to the story of the house
Step in step
Step by step
We build a house
Listen to the story of the house!"
HIndi,Agnibeena,"The Lute of Fire","Ramdhari Singh Dinkar","Anil Sehgal","वीणा वादिनी, वर दे!  
प्रिय स्वतंत्र-रवी, वर दे!
उज्ज्वल गगन का छोर, चीर  
अग्नि-बाण सा सब ओर वीर  
विकट प्रलय का कर नाद,  
खोल दे अब मृतिका के जाल।

धधकता रहे, यह ह्रदय  
प्रज्वलित प्राणों में, फिर से  
गाए यह जीवन वीणा,  
प्रलय में भी अमर हो जाना।","O Lute of Fire, grant us your boon!  
Bless us, dear light of freedom's noon!  
Pierce the radiant sky, like flame,  
A hero’s call, fearless in name,  
Roar with a fury, with thunder’s might,  
Break the chains of death’s endless night.

Let this heart burn, with passion aglow,  
And through all lives, let courage grow,  
Let the lute of life sing on,  
Even through the storm, let it live on."
HIndi,Jhansi ki Rani,"The Queen of Jhansi","Subhadra Kumari Chauhan","Khushwant Singh","सिंहासन हिल उठे, राजवंशों ने भृकुटी तानी थी,  
बूढ़े भारत में आई फिर से नयी जवानी थी,  
गुमी हुई आज़ादी की क़ीमत सब ने पहचानी थी,  
दूर फिरंगी को करने की सब ने मन में ठानी थी,  
चमक उठी सन सत्तावन में, वह तलवार पुरानी थी।  
बुंदेले हरबोलों के मुँह हमने सुनी कहानी थी,  
ख़ूब लड़ी मर्दानी वह तो झाँसी वाली रानी थी।
","The throne shook, the royal dynasties furrowed their brows,  
In ancient India, a new youth had begun to arouse,  
The value of lost freedom was finally known,  
The vow to drive the British far away was shown,  
The old sword of '57 once again gleamed bright.  
The ballads of the Bundelas echoed through the night:  
Bravely she fought, a warrior was she—  
The Queen of Jhansi, fierce and free."
HIndi,Tulsidas ke Dohe,"Couplets of Tulsidas","Tulsidas
","F. S. Growse
","दया धर्म का मूल है, पाप मूल अभिमान।  
तुलसी दया न छाँड़िए, जब लग घट में प्राण। ","Mercy is the root of all religion, pride is the root of all sin.  
Tulsidas says, never abandon mercy, as long as breath is within."
HIndi,Suno Meri Vanshi,"Listen to My Flute","Jaishankar Prasad","David Rubin","सुनो मेरी वंशी, सुनो,  
आसमान की ऊँचाइयों से।  
बंसुरी की सुर लहरियों में,  
छिपा है मन का सन्देश।  ","Listen to my flute, listen,  
From the heights of the sky.  
In the waves of the flute's notes,  
The message of the heart lies hidden."
HIndi,Aurat,"The Woman
","Kaifi Azmi
","Pritish Nandy
","महलों में रहने वाली,  
रोटी के लिए मिन्नत करने वाली।  
कभी ताजमहल की तरह,  
कभी खुदा की सूरत बनती।  
","The one who dwells in palaces,  
The one who begs for bread.  
At times like the Taj Mahal,  
At times, she takes the form of God.
"
HIndi,Ram Ki Shakti Puja,"Worship of Rama's Power","Suryakant Tripathi 'Nirala'","David Rubin","हे राम,  
तेरे चरणों में है शक्ति,  
तेरे नाद में है जीवन,  
जो तुझमें है, वही सबमें है।","O Rama,  
In your feet lies power,  
In your sound is life,  
What is in you, is in all.
"
HIndi,Tiranga,"The Tricolor","Maithili Sharan Gupt","Usha Nilsson","सिंह की भांति गर्वित,  
संग्राम की यह निशानी,  
तिरंगे में बसी है,  
हमारी आज़ादी की कहानी।
","Proud like a lion,  
This symbol of the struggle,  
In the tricolor resides,  
The story of our freedom.
"
HIndi,Do Boondein,"Two Drops","Harivansh Rai Bachchan","Poonam Saxena
","दो बूंदें, हंसती हुई,  
एक बूँद को तो गले लगा कर,  
दूसरी बूँद फिर रह जाती है,  
खुशियों की हंसी बिखेरती।
","Two drops, laughing,  
One drop embraces the other,  
While the second drop stays back,  
Spreading the laughter of joy.
"
HIndi,Vasundhara,"The Earth
","Sumitranandan Pant
","Frances W. Pritchett","वसुंधरा, धरती माता,  
तेरे चरणों में बसी है,  
जीवन की हर रचना,  
तेरे आंचल में लिपटी है।
","Earth, Mother Earth,  
In your lap lies,  
Every creation of life,  
Wrapped in your embrace.
"
HIndi,Khoon ki Dalali,"Merchants of Blood","Pash","Rahul Soni
","खून की दलाली,  
इंसानियत की हत्यारी,  
राजनीति के खेल में,  
बना दिया है मानवता को मारी।","Merchants of blood,  
Murderers of humanity,  
In the games of politics,  
They’ve made humanity a casualty.
"
HIndi,Chand se Mukhde Pe,"On the Face like the Moon","Suryakant Tripathi 'Nirala'","A. K. Ramanujan
","चाँद से मुखड़े पे,  
तारों की छवि बसी,  
गालों की लाली में,  
खुशबू की गंध है।  
","On the face like the moon,  
The image of stars resides,  
In the blush of the cheeks,  
The fragrance abides."
HIndi,Ghar Ki Yaad,"Memory of Home","Kumar Vishwas
",N/A,"गुलाब की खुशबू में बसी है,
हरियाली में ढलती सवेरे हैं।
गृहस्थी की ताज़गी है,
घर की याद मन में संजाए।","In the fragrance of roses, it resides,  
In the greenery, the mornings glide.  
The freshness of homeliness is there,  
Memories of home linger in the air."
HIndi,Ek Chadar Maili Si,"A Dirty Blanket
","Rajendra Singh Bedi",N/A,"एक चादर मैली सी
कोई खड़ी है बगिया में
बगिया में फूलों से भरी
बगिया में खुशबू है
पर चादर की धारियां
कुचली कुचली सी हैं।

चादर में है धूल
बगिया की हसीन सुबह में
सूरज की किरणों में
चादर की सिलाई को
वो सब देख रही है।

उसके हाथ में छड़ी
आँखों में आंसू
दिमाग में ख्याल
फूलों की पंखुड़ियों पर
चादर का साम्राज्य है।

एक चादर मैली सी
धुंधला सा चेहरा लिए
हाथ में खुशबू की साड़ी लिए
हंसने की ख्वाहिश लिए
सोने की ख्वाहिश लिए।

बगिया की खुशबू में
धुंधला सा चेहरा है
चादर की पहचान है
वो तो एक कहानी है।","A dirty blanket
stands in the garden,
the garden filled with flowers,
the garden full of fragrance,
but the stripes of the blanket
are crumpled and crushed.

The blanket is dusty
in the beautiful morning of the garden,
in the rays of the sun,
the seams of the blanket
are being watched by all.

In her hand is a stick,
tears in her eyes,
thoughts in her mind,
on the petals of the flowers,
lies the empire of the blanket.

A dirty blanket
with a blurred face,
holding a fragrant sari
with a wish to laugh,
with a desire to shine.

In the fragrance of the garden,
there is a blurred face,
the blanket has an identity,
it tells a story."
Hindi,Tumhare Liye,"For You
","Brahma Reddy 
","N/A","तुम्हारे लिए यह सब कुछ,  
तुम्हारे लिए मेरी हर सांस।  
तुम्हारे बिना अधूरी है मेरी दुनिया,  
तुमसे ही है मुझे जीने की आस।  

तुम्हारी हंसी में है खुशी की बौछार,  
तुम्हारी यादों में बसा है मेरा प्यार।  
तुम हो तो सब कुछ है,  
तुम्हारे बिना सब है बेकार।  
","For you, this is everything,  
For you, my every breath.  
Without you, my world is incomplete,  
It’s you who gives me hope for life and depth.  

In your laughter, joy pours down,  
In your memories, my love is found.  
With you, everything exists,  
Without you, all is lost, I drown.  "
Hindi,Bachpan,"Childhood","Makarand Paranjape","N/A","बचपन की यादें हैं प्यारी,  
खुशियों से भरी, निराली।  
गुल्लक में बचत के पैसे,  
खिलौनों से भरी थी कासे।  

सूरज की पहली किरणों संग,  
सपनों में खेलता, मीठा रंग।  
बच्चों की टोली, हंसी का आलम,  
बचपन की खुशबू, जैसे खुशहाल जाम।  ","Memories of childhood are dear,  
Filled with joy, so unique and clear.  
Coins saved in the piggy bank,  
With toys piled high, my heart sank.  

With the first rays of the sun,  
Playing in dreams, sweet and fun.  
A group of children, laughter in the air,  
The fragrance of childhood, beyond compare.  
"
Hindi,Sanjh Ka Shayar,"The Poet of Dusk","Nirmal Verma
","N/A","सांझ का शायर,  
जब धरती के आँचल में छिपता है सूरज।  
उसकी किरणों से खेलते हैं सपने,  
और हवा में घुलती हैं चुप्पियाँ।  

अंधेरे की चादर ओढ़े,  
वो चुपचाप लिखता है अपनी कविता।  
हर एक खामोशी में छुपा होता है  
एक नया कहानी का सुराग।  ","The poet of dusk,  
When the sun hides in the earth’s embrace.  
Dreams play with its rays,  
And silence dissolves in the air.  

Wrapped in a blanket of darkness,  
He quietly writes his poem.  
In every silence lies  
A clue to a new story.
"
Hindi,Mitti se Uthta Aadmi,"The Man Rising from Soil","Mohan Kandan
","N/A
","मिट्टी से उठता आदमी,  
अपने हक की खोज में,  
हर सुबह की पहली किरण के संग,  
सपनों को सजाता है।  

उसकी मेहनत की गंध,  
धरती की गोद में मिलती है,  
आसमान को छूने की चाह में,  
हर कदम पर संघर्ष है।  ","The man rising from soil,  
In search of his rights,  
With the first light of every dawn,  
He adorns his dreams.  

The fragrance of his toil,  
Mingles in the earth's lap,  
In the desire to touch the sky,  
Struggles lie at every step.
"
Hindi,Suno Aankhon Ki Baat,"Listen to the Eyes","Nirmal Verma
","N/A","सुनो आँखों की बात,  
जो कहती हैं चुपचाप,  
हर एक नज़र में एक कहानी है,  
हर आँसू में एक सफर है।  

खामोशियों की गहराई में,  
अनकही सी आवाज़ें हैं,  
इन्हें सुनो, ये बताती हैं,  
जीवन के रंगीन एहसास हैं।  ","Listen to the eyes,  
That speak silently,  
In every glance, there's a story,  
In every tear, there's a journey.  

In the depths of silence,  
Unspoken voices reside,  
Listen to them, they tell,  
The vibrant feelings of life inside.
"
Hindi,Main Kya Karoon,"What Should I Do
","Sahir Ludhianvi
","N/A","मैं क्या करूँ, जब तुमको देखा  
तुम्हारी आँखों में वो जादू था।  
हर एक लम्हा, हर एक साँस,  
तुम्हारी यादों में बसा था।  

चाँदनी रातें, ठंडी हवाएँ,  
तुम्हारी बातें, वो मीठी यादें।  
मैं क्या करूँ, जब तुमको देखा,  
दिल ने कहा, अब जीना है बस तुमसे।","What should I do when I saw you,  
There was magic in your eyes.  
Every moment, every breath,  
Was filled with your memories.  

Moonlit nights, cool breezes,  
Your words, those sweet memories.  
What should I do when I saw you,  
My heart said, now to live is only for you.
"
